id,first_name,last_name,birthdate,gender,city,orders,order_amount,opt_in
41,Fatima,Brievingh,1998-04-13,female,Amsterdam,5,10,False
42,Vigo,Coolen,1994-05-05,male,Den Haag,2,14,True
43,Owen,van Stralen,1999-07-19,male,Amsterdam,3,11,False
44,Evelien,van Evelingen,1994-07-09,female,Den Haag,4,15,True
45,Laura,de Keijser,1994-01-01,female,Eindhoven,3,8,False
46,Vince,Heerkens,1992-01-21,male,Eindhoven,1,44,True
47,Sep,Spanhaak,1999-07-13,male,Utrecht,2,6,True
48,Tim,van den Pol,1999-01-25,male,Den Haag,12,7,True
49,Helena,Drysdale,2001-08-27,female,Den Haag,2,41,True
50,Elena,Ernst,2000-04-27,female,Den Haag,1,14,True
51,Beau,Lambregt,1991-01-22,male,Amsterdam,4,14,True
52,Marit,Bosch,1992-07-09,female,Den Haag,2,21,True
53,Ninthe,Everts,1994-09-21,female,Amsterdam,1,6,True
54,Amélie,Moet,1996-07-19,female,Den Haag,10,23,False
55,Ella,van Hoevel en van Zwindrecht,1997-07-07,female,Rotterdam,3,17,False
56,Tyler,van de Elzas,1995-10-18,male,Utrecht,3,6,True
57,Luuk,van de Pavert,1998-03-18,male,Amsterdam,13,17,False
58,Hailey,Uphaus,1993-08-09,female,Amsterdam,5,5,True
59,Sjoerd,Cant,1995-06-17,male,Den Haag,2,5,False
60,Femke,Mulder,2000-08-22,female,Eindhoven,4,10,False
61,Ian,Dekker,1997-06-01,male,Den Haag,32,7,False
62,Hugo,Koning,2001-01-09,male,Eindhoven,1,17,True
63,Jordy,Lorreijn,1998-07-11,male,Den Haag,6,31,True
64,Eva,Sas,1997-07-03,female,Amsterdam,5,25,False
65,Jamie,Brievingh,1997-10-01,male,Den Haag,10,9,True
66,Jacob,van Lucel,1999-03-11,male,Eindhoven,2,14,False
67,Elisabeth,Wendt,1993-09-14,female,Utrecht,1,34,True
68,Ibrahim,Mater,2001-03-31,male,Eindhoven,2,24,True
69,Jelte,Geldens,2000-09-10,male,Amsterdam,4,10,False
70,Kian,Zuidweg,2002-04-04,male,Amsterdam,2,44,False
71,Amin,van Es,1998-12-28,male,Rotterdam,1,18,True
72,Mare,Coreth von und zu Coredo und Starkenberg,1997-04-08,female,Utrecht,6,18,False
73,Yasmin,Roodesteijn,1993-05-31,female,Amsterdam,4,10,True
74,Thomas,van Verdun,1996-09-03,male,Rotterdam,3,4,True
75,Yinthe,van Beeck Beeckmans,1995-12-16,female,Den Haag,5,3,False
76,Fleur,de Groot,1996-08-27,female,Amsterdam,4,27,True
77,Lisanne,van den Velde,2000-08-07,female,Amsterdam,2,30,True
78,Eliza,van Hagen,1995-10-11,female,Den Haag,1,6,False
79,Ben,de Haas,1994-07-02,male,Utrecht,4,52,True
80,Imke,Leene,1996-06-29,female,Amsterdam,4,5,False
81,Joëlle,Brumleve,2000-01-01,female,Amsterdam,4,10,False
82,Max,Stichter,1995-03-15,male,Rotterdam,4,3,True
83,Fatima,Eijkelboom,1991-07-07,female,Amsterdam,8,3,False
84,Janne,Zeldenrust,1991-10-12,female,Den Haag,3,37,True
85,Yasmine,Zijlemans,1996-05-09,female,Utrecht,3,10,False
86,Luca,Peeters,1999-10-18,male,Rotterdam,2,58,False
87,Sophie,van Luinenburg,1996-03-22,female,Amsterdam,1,12,True
88,Fay,Rutten,2000-11-22,female,Amsterdam,2,19,False
89,Fedde,Schilt,2002-02-21,male,Amsterdam,2,6,True
90,Stella,Arnold,2000-12-25,female,Eindhoven,4,10,True
91,Helena,Thomas,1993-10-17,female,Utrecht,4,7,False
92,Lars,de Gratie,2002-07-12,male,Utrecht,5,5,False
93,Vigo,Elsemulder,2000-02-01,male,Amsterdam,3,22,True
94,Mika,Brandt,2000-01-26,male,Den Haag,4,63,False
95,Vigo,Hulshouts,1993-10-28,male,Amsterdam,2,6,True
96,Sterre,van Beek,2002-10-16,female,Rotterdam,7,43,True
97,Ruben,van Nederlotharingen,1996-08-01,male,Eindhoven,2,9,True
98,Casper,van het Heerenveen,2000-08-30,male,Den Haag,1,8,True
99,Lieve,Verheuvel,1998-08-16,female,Rotterdam,2,19,False
100,Amélie,Brandt,1997-04-23,female,Den Haag,2,14,True
